Game Date,Player Name,Position,Team,Opponent,Period 1 - SOG,Period 2 - SOG,Period 3 - SOG,Total SOG,Period 1 - Blocked,Period 1 - Missed,Period 1 - Failed Shots,Period 2 - Blocked,Period 2 - Missed,Period 2 - Failed Shots,Period 3 - Blocked,Period 3 - Missed,Period 3 - Failed Shots,SUM of Failed Shots,SUM of Shot Attempts,Shot %,Failed Shot %
10/26/2024,Henri Jokiharju,D,Buffalo Sabres,Detroit Red Wings,1,1,0,2,0,0,0,0,0,0,1,0,1,1,3,66.66666667,33.33333333
10/26/2024,Peyton Krebs,C,Buffalo Sabres,Detroit Red Wings,1,1,0,2,0,0,0,0,0,0,1,0,1,1,3,66.66666667,33.33333333
10/26/2024,Jiri Kulich,C,Buffalo Sabres,Detroit Red Wings,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,100,0
10/26/2024,Sam Lafferty,C,Buffalo Sabres,Detroit Red Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/26/2024,Beck Malenstyn,LW,Buffalo Sabres,Detroit Red Wings,0,2,0,2,0,0,0,1,0,1,0,0,0,1,3,66.66666667,33.33333333
10/26/2024,Ryan McLeod,C,Buffalo Sabres,Detroit Red Wings,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,100
10/26/2024,John-Jason Peterka,RW,Buffalo Sabres,Detroit Red Wings,0,0,0,0,2,1,3,0,0,0,0,0,0,3,3,0,100
10/26/2024,Owen Power,D,Buffalo Sabres,Detroit Red Wings,1,1,0,2,1,0,1,0,0,0,0,1,1,2,4,50,50
10/26/2024,Jack Quinn,RW,Buffalo Sabres,Detroit Red Wings,0,1,2,3,0,0,0,1,0,1,0,0,0,1,8,37.5,12.5
10/26/2024,Mattias Samuelsson,D,Buffalo Sabres,Detroit Red Wings,2,2,0,4,0,0,0,1,0,1,0,0,0,1,5,80,20
10/26/2024,Tage Thompson,C,Buffalo Sabres,Detroit Red Wings,5,1,0,6,1,1,2,3,1,4,1,2,3,9,15,40,60
10/26/2024,Alex Tuch,RW,Buffalo Sabres,Detroit Red Wings,0,3,2,5,0,0,0,0,0,0,0,0,0,0,5,100,0
10/26/2024,Jason Zucker,LW,Buffalo Sabres,Detroit Red Wings,1,1,0,2,0,1,1,0,0,0,0,1,1,2,4,50,50
,,,,,,,,,,,,,,,,,,,,,
10/28/2024,Nicolas Aube-Kubel,RW,Buffalo Sabres,Florida Panthers,0,1,0,1,0,0,0,1,2,3,1,0,1,4,5,20,80
10/28/2024,Bowen Byram,D,Buffalo Sabres,Florida Panthers,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,50,50
10/28/2024,Connor Clifton,D,Buffalo Sabres,Florida Panthers,1,0,0,1,0,0,0,0,1,1,0,0,0,1,2,50,50
